r,rr,trtype,t,Value
p21,p25,AC,2035,91188.2805
p21,p25,AC,2038,91188.2805
p21,p25,AC,2041,91188.2805
p21,p25,AC,2044,731762.617343
p21,p25,AC,2047,884617.520685
p21,p25,AC,2050,884617.520685
p21,p26,AC,2010,129971.63654
p21,p26,AC,2015,129971.63654
p21,p26,AC,2020,129971.63654
p21,p26,AC,2023,129971.63654
p21,p26,AC,2026,129971.63654
p21,p26,AC,2029,129971.63654
p21,p26,AC,2032,129971.63654
p21,p26,AC,2035,129971.63654
p21,p26,AC,2038,129971.63654
p21,p26,AC,2041,129971.63654
p21,p26,AC,2044,129971.63654
p21,p26,AC,2047,129971.63654
p21,p26,AC,2050,129971.63654
p22,p23,AC,2010,41121.63019
p22,p23,AC,2015,41121.63019
p22,p23,AC,2020,41121.63019
p22,p23,AC,2023,41121.63019
p22,p23,AC,2026,41121.63019
p22,p23,AC,2029,41121.63019
p22,p23,AC,2032,41121.63019
p22,p23,AC,2035,41121.63019
p22,p23,AC,2038,60249.919808
p22,p23,AC,2041,105300.983372
p22,p23,AC,2044,166835.939202
p22,p23,AC,2047,166835.939202
p22,p23,AC,2050,166835.939202
p22,p24,AC,2010,100286.843025
p22,p24,AC,2015,100286.843025
p22,p24,AC,2020,100286.843025
p22,p24,AC,2023,100286.843025
p22,p24,AC,2026,100286.843025
p22,p24,AC,2029,100286.843025
p22,p24,AC,2032,100286.843025
p22,p24,AC,2035,100286.843025
p22,p24,AC,2038,100286.843025
p22,p24,AC,2041,100286.843025
p22,p24,AC,2044,100286.843025
p22,p24,AC,2047,100286.843025
p22,p24,AC,2050,100286.843025
p23,p24,AC,2010,237482.49
p23,p24,AC,2015,237482.49
p23,p24,AC,2020,237482.49
p23,p24,AC,2023,237482.49
p23,p24,AC,2026,237482.49
p23,p24,AC,2029,237482.49
p23,p24,AC,2032,237482.49
p23,p24,AC,2035,237482.49
p23,p24,AC,2038,237482.49
p23,p24,AC,2041,237482.49
p23,p24,AC,2044,237482.49
p23,p24,AC,2047,237482.49
p23,p24,AC,2050,237482.49
p23,p32,AC,2010,84201.51346
p23,p32,AC,2015,84201.51346
p23,p32,AC,2020,84201.51346
p23,p32,AC,2023,84201.51346
p23,p32,AC,2026,84201.51346
p23,p32,AC,2029,84201.51346
p23,p32,AC,2032,84201.51346
p23,p32,AC,2035,84201.51346
p23,p32,AC,2038,84201.51346
p23,p32,AC,2041,84201.51346
p23,p32,AC,2044,84201.51346
p23,p32,AC,2047,84201.51346
p23,p32,AC,2050,84201.51346
p24,p33,AC,2010,486781.34292
p24,p33,AC,2015,486781.34292
p24,p33,AC,2020,486781.34292
p24,p33,AC,2023,486781.34292
p24,p33,AC,2026,486781.34292
p24,p33,AC,2029,486781.34292
p24,p33,AC,2032,486781.34292
p24,p33,AC,2035,603851.816082
p24,p33,AC,2038,732689.30522
p24,p33,AC,2041,944954.107586
p24,p33,AC,2044,1017744.097773
p24,p33,AC,2047,1366221.029887
p24,p33,AC,2050,1452536.622794
p24,p39,B2B,2010,25556.4
p24,p39,B2B,2015,25556.4
p24,p39,B2B,2020,25556.4
p24,p39,B2B,2023,25556.4
p24,p39,B2B,2026,25556.4
p24,p39,B2B,2029,25556.4
p24,p39,B2B,2032,25556.4
p24,p39,B2B,2035,25556.4
p24,p39,B2B,2038,25556.4
p24,p39,B2B,2041,43920.482421
p24,p39,B2B,2044,50344.715035
p24,p39,B2B,2047,185328.48483
p24,p39,B2B,2050,209631.837017
p25,p26,AC,2010,99815.13136
p25,p26,AC,2015,99815.13136
p25,p26,AC,2020,99815.13136
p25,p26,AC,2023,99815.13136
p25,p26,AC,2026,99815.13136
p25,p26,AC,2029,99815.13136
p25,p26,AC,2032,99815.13136
p25,p26,AC,2035,125938.785723
p25,p26,AC,2038,125938.785723
p25,p26,AC,2041,125938.785723
p25,p26,AC,2044,201353.978679
